scientific_name,common_name,full_shade,part_shade,full_sun,low_moisture,medium_moisture,high_moisture,bloom,height,width,habits,pollinator_rating,bird_rating,spread_rating,deer_resistance_rating,moisture_source,moisture_source_detail,shade_source,shade_source_detail,habit_source,habit_source_detail,usda_source,wiki_source,wildflower_source
Claytonia caroliniana,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia lanceolata,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia perfoliata,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia sibirica,,,,,,,,,,,,,,,,,,,,,,,,
Claytonia virginica,,,,,,,,,,,,,,,,,,,,,,,,
Clematis ligusticifolia,,,,,,,,,,,,,,,,,,,,,,,,
Clematis occidentalis,,,,,,,,,,,,,,,,,,,,,,,,
Clematis virginiana,,,,,,,,,,,,,,,,,,,,,,,,
Cleome serrulata,,,,,,,,,,,,,,,,,,,,,,,,
Clermontia lindseyana,,,,,,,,,,,,,,,,,,,,,,,,
Clethra alnifolia,,,,,,,,,,,,,,,,,,,,,,,,
Clintonia borealis,,,,,,,,,,,,,,,,,,,,,,,,
Clintonia uniflora,,,,,,,,,,,,,,,,,,,,,,,,
Clusia rosea,,,,,,,,,,,,,,,,,,,,,,,,
Cnidoscolus texanus,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba diversifolia,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba uvifera,,,,,,,,,,,,,,,,,,,,,,,,
Coccothrinax argentata,,,,,,,,,,,,,,,,,,,,,,,,
Collinsia verna,,,,,,,,,,,,,,,,,,,,,,,,
Conoclinium coelestinum,,,,,,,,,,,,,,,,,,,,,,,,
Coprosma ernodeoides,,,,,,,,,,,,,,,,,,,,,,,,
Coptis trifolia,,,,,,,,,,,,,,,,,,,,,,,,
Cordia borinquensis,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis auriculata,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis gigantea,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis grandiflora,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis lanceolata,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis leavenworthii,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis major,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis palmata,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis tinctoria,,,,,,,,,,,,,,,,,,,,,,,,
Coreopsis verticillata,,,,,,,,,,,,,,,,,,,,,,,,
Cornus alternifolia,,,,,,,,,,,,,,,,,,,,,,,,
Cornus amomum,,,,,,,,,,,,,,,,,,,,,,,,
Cornus canadensis,,,,,,,,,,,,,,,,,,,,,,,,
