id,name,url,address,city,state,zip,lat,long
147,Redbud Native Plant Nursery,https://redbudnative.com/,904 N Providence Road,Media,PA,19063,39.9303771294594,-75.3877755877523
148,Carolina Wild,http://www.carolinawild.com/,314 Camellia Dr,Anderson,SC,29625,34.5231392394235,-82.6833772680441
149,"Woodlanders, Inc.",,1128 Colleton Avenue,Aiken,SC,29801,33.5520995909639,-81.7067442237511
150,"GroWild, Inc.",,7190 Hill Hughes Road,Fairview,TN,37062,36.0069064646603,-87.094337058495
151,Overhill Gardens,https://www.overhillgardens.com,1404 Citico Road,Vonore,TN,37885,35.5396243901157,-84.1187759981457
152,Shy Valley Farm Studio & Garden,http://www.shyvalleyfarm.com/,315 Ridge Road,Fall Branch,TN,37663,36.430375,-82.527075
153,Signal Mountain Nursery,http://www.signalmtnnursery.com/,1100 Hubbard Rd,Signal Mountain,TN,37377,35.1810544729303,-85.316047305064
154,Tennesse Naturescapes,https://www.tennesseenaturescapes.com,2131 Oliver Springs Hwy,Clinton,TN,37716,36.026035,-84.284862
155,The Barn Nursery,https://www.barnnursery.com,1801 East 24th St. Place,Chattanooga,TN,37404,35.016853,-85.284837
156,Native Gardeners,https://native-gardeners.com/,407 S Pipeline Rd,Euless,TX,76040,32.8225068910591,-97.0872262905337
157,Natural Gardener,https://tngaustin.com/,8648 Old Bee Caves Rd,Austin,TX,78735,30.256265,-97.891287
158,Weston Gardens in Bloom,,8101 Anglin Dr,Forth Worth,TX,76140,32.63645355,-97.2520799164254
159,Abernethy & Spencer Greenhouse & Garden Center,https://www.abernethyspencer.com/,18035 Lincoln Rd,Purcellville,VA,20132,39.1180948,-77.6978581491101
160,Earth Sangha Wild Plant,https://www.earthsangha.org/,6100 Cloud Drive,Springfield,VA,22150,38.785577,-77.160542
161,Hill House Farm & Nursery,http://hillhousenativeplants.com,631 Scrabble Road,Castleton,VA,22716,38.609063,-78.130822
162,Mid Atlantic Native Plant Farm Inc.,https://midatlanticnatives.com/,4238 Buckley Hall Road,Cobbs Creek,VA,23035,37.506186,-76.376511
163,Nature By Design,,300 Calvert Avenue,Alexandria,VA,22301,38.830013,-77.054506
164,"Parallel Nursery, LLC",https://www.parallelnursery.com/,4700 Chickahominy Ave,Richmond,VA,23222,37.59208395,-77.3987385651336
165,"Reedy Creek Environmental, LLC",https://reedycreekenvironmental.wordpress.com/,4020 Dunston Ave,Richmond,VA,23225,37.51583595,-77.4785578967343
166,Watermark Woods,https://www.watermarkwoods.com/,16764 Hamilton Station Rd,Hamilton,VA,20158,39.15223145,-77.6402033422862
167,Desert Jewels Nursery,https://www.desertjewelsnursery.com/,9809 East Upriver Drive,Spokane,WA,99206,47.6969152092489,-117.273269793917
168,"Tapteal Native Plants, LLC",https://www.taptealnativeplants.com/,1222 Broadview Dr,West Richland,WA,99353,46.288927,-119.333627
169,Woodbrook Native Plant Nursery,https://woodbrooknativeplantnursery.com/,"5919 78th Ave. NW Gig Harbor, WA 98335",Gig Harbor,WA,98335,47.3104010545546,-122.642529270843
170,Agrecol Native Nursery,,10101 North Casey Road,Evansville,WI,53536,42.8220985542571,-89.191280687813
171,Clearview Nursery,,6414 Schofield Ave.,Weston,WI,54476,44.9021860177699,-89.5421341540057
172,Deer Creek Seed Company,https://www.deercreekseed.com,6115 Pepsi Way,Windsor,WI,53598,43.1900301616,-89.3352079732872
173,Door Landscape and Nursery,https://www.doorlandscape.com/,6329 Highway 42,Egg Harbor,WI,54209,44.97664,-87.334045
174,Dragonfly Gardens,https://dragonflygardens.net/,491 State Highway 46,Amery,WI,54001,45.28137,-92.368618
175,"Evergreen Nursery Co., Inc.",https://www.evergreennurseryco.com,5027 County Road TT,Sturgeon Bay,WI,54235,44.8348065176794,-87.3087141309967
176,Hanson's Garden Village,https://www.hansonsgardenvillage.com,2660 County Hwy G,Rhinelander,WI,54501,45.593985,-89.397351
177,"Johnson’s Nursery, Inc.",https://www.jniplants.com/,W180 N6275 Marcy Rd,Menomonee Falls,WI,53051,43.131234,-88.135582
178,Kinnickinnic Natives,https://www.kinninatives.com/,235 State Road 65,River Falls,WI,54022,44.847471,-92.606877
179,Krueger’s Northwoods Nursery,,3682 S. Limberlost Rd,Rhinelander,WI,54501,45.64453,-89.302153
180,Leaves Inspired Tree Nursery,https://www.leavesinspired.com,N3489 Minahan Rd,Chilton,WI,53104,44.01351,-88.23742
181,"Lupine Gardens, LLC",https://lupinegardens.com/,880 155th St,Amery,WI,54001,45.3357090909091,-92.4799344545455
